Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$78K-$133K (Glassdoor est.),"Publishers Clearing House (PCH), located in Jericho, NY is looking for a strongData Scientist who is passionate about using the power of algorithms to drive customer engagement and monetization. As a part of our Analytics team, you will be utilizing enormous volumes of data on customers, PCH products, channels, and developing advanced statistical algorithms to solve unique business problems. This is an exciting opportunity to work with big data to build data products backed by algorithms to delight customers and to drive significant advances in PCH Commerce (online and Direct Mail), Search, Online Gaming, and Digital Advertising business.

Responsibilities include but are not limited to:
Work comfortably with multi-terabyte, and billion+ rows data to extract insights and building predictive models to maximize profit
Utilize large-scale data mining and machine learning techniques to discover actionable patterns in the data
Perform rigorous model development, evaluation, design hypothesis tests, oversee test execution and result evaluation
Communicate complex analyses in a clear and actionable manner
Desired skills, experience& qualifications:
Masters degree required in Machine Learning, Applied Math, Computer Science, Economics, Statistics, or a related quantitative field
2 to 5 years’ experience in building predictive models using SAS Enterprise Guide (EG) , SAS Enterprise Miner or/and Python
Solid understanding of advanced statistical concepts, especially related to modelling is a must
Experience with publishers and or ad tech companies, experience in media, advertising and marketing vertical is a plus
Knowledge of programmatic advertising and digital acquisition. Experience in building optimization models /algorithms for media spends and maximize CPM
Experience working with enterprise-level digital analytics platform such as Google Analytics is a plus
Experience with cloud platforms AWS or Google Could Platforms (preferred)
Experience with ETL and building data pipelines and familiarity with distributed storage and big data computing technology is a plus
Excellent communication and presentation skills
Publishers Clearing House (PCH), headquartered in Jericho, NY, and with offices in NYC, Portland, ME and Boston, MA, is a leading direct-to-consumer company offering a broad range of products, digital entertainment services to consumers as well as customized solutions for advertisers. Our continued success in today’s new digital publishing environment is built on PCH’s unique, free-to-play, chance-to-win value proposition, which enables individually personalized offers based on the trusted first-party relationship we maintain with millions of consumers and is fueled by the excitement of the Publishers Clearing House brand.

Join our winning team and apply today!

This position is located in Jericho, NY. Candidates must reside in the NY tri-state area

PCH is an Equal Opportunity Employer",3.4,"Publishers Clearing House
3.4","Jericho, NY",-1,501 to 1000 Employees,1953,Company - Private,Advertising & Marketing,Business Services,$500 million to $1 billion (USD),-1
Associate Data Scientist,$78K-$133K (Glassdoor est.),"Job Description

As an Associate Data Scientist, you will apply modern data storage, movement, and transformation architectures and techniques to extract and engineer features from any scale structured or unstructured data in health, IT system, business processes, or external data. You will also access, cleanse, compile, and transform disparate data sets to conduct exploratory and pre-defined analyses using scientifically valid techniques and generate meaningful insights as well as assist with feasibility studies to identify data availability, quality and modeling requirements, and dependencies.

Qualifications

Basic Qualifications
Master’s Degree in Statistics, Computer Science, Analytics, Biostatistics, Applied Mathematics, Software Engineering, Data Science, or related field, or equivalent relevant work experience
At least 1 year of statistical programming and applied programming work experience
At least 1 year Data mining, quantitative analysis, and/or statistical modeling including predictive performance and algorithm optimization work experience
Preferred Qualifications
Experience with relational databases and SQL; NoSQL databases (hBase, Cassandra, MongoDB, Couch DB, Riak) and unstructured data; Spark; Pig and Avro
Experience with agile software development methodologies
Expectations
Willing to travel up to 20% of the time as needed
Must be currently residing in or willing to relocate to the Kansas City metro area",3.9,"Cerner
3.9","North Kansas City, MO",-1,10000+ Employees,1979,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),-1
Scientific Data Analyst,$78K-$133K (Glassdoor est.),"Scientific Data Analyst

Melbourne, FL

Ability to obtain and maintain a security clearance

National Security

Job Description

ENSCO, Inc., is seeking a Scientific Data Analyst to work closely with a team of scientists and analysts. The work is mission critical, involves solving real-world problems, and encompasses the following technical areas. Develop scientific software/algorithms using advanced mathematics and digital signal processing techniques. Identify and apply appropriate machine learning techniques to evaluate large disparate data sets. Apply digital signal processing techniques in the frequency and time domains to evaluate recorded signals from a distributed sensor network. (e.g. array processing, noise rejection, tracking) to extract and identify signals or features of interest.

The Scientific Data Analyst will work in ENSCO's National Security Solutions (NSS) Division, which provides innovative customized products and services vital to national safety and security. A primary focus area is the development of software systems for multipurpose data collections, processing, and analysis.

Qualifications Required (Skills)

BS in Mathematics, Electrical Engineering, Computer Science, Physics, Acoustics, Geophysics, or related field.

3+ years of related work experience.

Demonstrated proficiency developing algorithms using advanced applied mathematics on large data sets.

Demonstrated expertise with digital signal processing techniques and statistical analysis.

Ability to assimilate large complex scientific data sets from disparate sources and analyze results.

Ability to perform uncertainty and sensitivity analysis on complex models evaluated over multi-dimensional input parameter spaces.

Technical skills to understand and analyze problems, define potential solutions, and conduct in-depth technical analysis.

Demonstrated experience preparing technical reports and preparing and presenting technical briefings.

Demonstrated experience in making technical assessments and communicating results of technical studies to non-scientists.

Demonstrated proficiency with scientific analysis software such as Matlab and Python.

Demonstrated experience with use of a scripting computer language.

Ability to work in a team environment and as a self-starter

Excellent oral and written communication skills

Demonstrated experience with Microsoft Office.

Working knowledge of Windows and Unix/Linux operating systems.

MUST HAVE THE ABILITY TO OBTAIN AND MAINTAIN A TS/SCI SECURITY CLEARANCE, FOR WHICH YOU MUST BE A U.S. CITIZEN. YOU WILL NOT BE CONSIDERED FOR THIS POSITION IF YOU DO NOT MEET THIS REQUIREMENT.

Applicant selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information

Qualifications Desired

MS in Mathematics, Electrical Engineering, Computer Science, or related field.

Working knowledge of a scientific programming language such as Python, R, C, or FORTRAN.

Experience with relational databases.

Observational experience processing and interpreting time series and frequency domain dataset, including ability to distinguish signals from noise.

Working knowledge of wave propagation and signal interpretation in solid/fluid media.

#LI-KM1

Req ID

1866BR

Internal Position Title

Scientist III

Employment Status

Regular Full-time

General Education/Years of Experience

BS or equiv; min 3 yrs relevant exp

U.S. Citizenship

Yes

Background Check Type

7 year

Drug Screen Type

None

Export Control and Licensing

None

Contract Award Contingency

No

Recruiter

Kierra McDonald

Division Description

The National Security Solutions (NSS) Division provides security solutions for the United States government. NSS employees offer a multi-disciplinary approach to solve some of the most challenging technical problems in complex operational environments. Our areas of expertise are in sensor development and integration; chemical, biological and geophysical phenomenology; software applications and modeling; and operational applications of technology.

Key customers include the Department of Homeland Security, the Department of Defense, and the Intelligence Community.

Strength in Diversity

ENSCO, Inc. and its wholly owned U.S. subsidiaries are equal opportunity/affirmative action employers, committed to diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity, sexual orientation, national origin, disability, or protected veteran status, or any other protected characteristic under state or local law.",3.6,"ENSCO, Inc.
3.6","Melbourne, FL",-1,501 to 1000 Employees,1969,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1
Lead Data Scientist (Life Insurance),$78K-$133K (Glassdoor est.),"REPORTS TO: Director of Finance

FLSA STATUS: Exempt

TRAVEL: 0%-10%

WORK SCHEDULE: M-F, may need to flex times due to business needs

LOCATION: Downtown Hartford, CT. Open to remote work for the right candidate.

COMPANY OVERVIEW:

Covr Technologies is a leading, InsurTech venture capital-backed company, focused on using technology to simplify the buying process for life insurance and related products. As an innovator in a rapidly evolving industry, Covr is a technology-driven company that provides a simpler way for people to protect what matters most. Through partnerships with financial institutions and advisors, Covr's innovative digital platform provides the capability to research, compare and buy life insurance from top providers, fully online and within minutes. Our employees enjoy a casual dress code, flexible hours and progressive work environment. We have a strong culture based on our core values: Client First, Integrity, Innovation, Collaboration, Fun!

JOB SUMMARY:

The position will report directly to the Director of Finance with an indirect reporting line to the President and CEO of Covr and will work cross-functionally with teams to drive understanding of how data is used to improve decision making, product effectiveness and sales execution. Internally the title for this role is Lead, Business Analytics and Data Science. The individual should have an affinity for enabling data-driven decisions with a bias toward action. Must enjoy the process of breaking down complex data sets and problems into comprehensible and actionable insights.

ESSENTIAL JOB FUNCTIONS, DUTIES, AND PERFORMANCE RESPONSIBILITIES:

Analyze KPIs and key business analytics
Develop productive data models to direct priority sales and service activities
Research customer data segments for business development
Develop, maintain, and improve holistic data sets, reports, and dashboards to monitor company performance
Analyze business intelligence and support the business by communicating key insights, risks, and findings to management
Use a data-informed approach to inform and drive day-to-day focus and operational efficiencies
Develop deep insights into customer segments and use data modeling to improve buying behaviors and conversion rates.
Performs other duties and projects as assigned

JOB SPECIFICATIONS AND QUALIFICATIONS:

Education and Experience:

B.A. or B.S. Business, Predictive Analytics, Data Science or other related area of study.
Minimum of 2 years of relevant work related experience
Experience within the life insurance industry a plus

Knowledge and Skills:

Experience conducting analysis of various types including predictive analytics and sales analytics a plus
Experience in building production-level algorithms and predictive analytics systems along with data pipelines
Solid experience in MS Office applications (Word, Excel, Outlook, etc.) and other applications (SAS, SQL, Power BI, Tableau, etc)
Experience working with cloud database technologies, such as Amazon Web Services (Amazon Redshift), S3, and/or Snowflake and/or Google Analytics
Strong critical thinking and organizational skills; including customer facing and strong communication skills. Needs to interpret data and make recommendations to business leaders and customers.
Knowledge of B2B2C and B2C environments with financial institution and consumer direct channels
Strong work ethic and high level of personal integrity and accountability

BENEFITS PACKAGE:

Check out our Employee Reviews on Glassdoor and Indeed to learn more about our culture!

We offer a competitive benefits package:

Paid Time Off (PTO): 3 weeks to start increasing with years of service
Paid holiday’s – 10.5 days, including two 4-day weekends!
NEW - Downtown parking subsidy
NEW - Summer Hours Program
Medical, Dental and Vision – 90% of monthly premium paid by Covr for all full-time employees
HSA employer contribution of $600/yr ($150/qtr)
Adult and child orthodontia
Health Savings Account (HSA) with quarterly company contributions
Short-Term and Long-Term Disability
NEW - Pet insurance for cats and dogs!
NEW - Paid Community Volunteer Program
401(k) with company match at 3.5%
Company paid Life and AD&D insurance of $25,000 for all full-time employees.
Supplemental Life and AD&D insurance up to 5x’s salary for employee up to $300,000
Supplemental Life and AD& D plans offered for spouse up to $100,00 and dependents up to $10,000
Flexible Spending Accounts (FSAs): medical, dependent, parking and transit

To Submit an Application/Questions:

Internal Applicants: Apply through Covr’s YourSource self-service portal.
External Employees: Submit an external application by going to www.covrtech.com/careers/
Have a question about an open position… Text your question directly to our HR department at (208) 417-8305. We check our messages frequently throughout the day and will get back to you as soon as possible.

Key Words: analytics, analysis, date, insights, buying behaviors, conversion rates, rate, excel, intelligence, analyze, data set, data sets, holistic data, dashboards, KPI, Tableau, B2B, B2B2C, interpret, redshift, S3, SAS, SQL, Power BI, Google Analytics, amazon, cloud database, analytics, analysis, date, insights, buying behaviors, conversion rates, rate, excel, intelligence, analyze, data set, data sets, holistic data, dashboards, KPI, Tableau, B2B, B2B2C, interpret, redshift, S3, SAS, SQL, Power BI, Google Analytics, amazon, cloud database, analytics, analysis, date, insights, buying behaviors, conversion rates, rate, excel, intelligence, analyze, data set, data sets, holistic data, dashboards, KPI, Tableau, B2B, B2B2C, interpret, redshift, S3, SAS, SQL, Power BI, Google Analytics, amazon, cloud database. machine learning, predictive analytics, Power BI, AI, google analytics, machine learning, predictive analytics, Power BI, AI, google analytics, machine learning, predictive analytics, Power BI, AI, google analytics, life insurance, insurance industry, life insurance, life insurance, sales analytics, predictive analytics, sales analytics, predictive analytics, sales analytics, predictive analytics, data scientist, data science, data governance, data scientist, data science, data governance, data scientist, data science, data governance

Powered by JazzHR

zloWsGQdAp",4.5,"Covr Financial Technologies
4.5","Hartford, CT",-1,51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,$78K-$133K (Glassdoor est.),"Job Description:

Our Advanced Data Analytics division in Reston, VA is seeking a talented Data Scientist for R&D projects with large amounts of complex data. As a Data Scientist you will be responsible for designing, implementing, and analyzing the results of innovative solutions to clients’ challenging machine learning and data mining problems. Applicants interested in applying only off-the-shelf solutions need not apply. Project teams are small, typically 2-5 people including Data Scientists, Mathematicians, and Software Developers. Each person is involved in the project’s entire process, from concept through design and implementation to demonstration. Our management structure gives you the freedom to create innovative designs and products. The ideal candidate will have experience writing well-documented, maintainable, and extensible software and APIs.

Required Qualifications:
Bachelor’s or Master’s degree in Machine Learning, Data Science, Computer Science, Mathematics, Statistics, or a related field
Significant experience developing and knowledge of best practices for evaluating innovative, scalable anomaly detection, classification, recommendation, and related algorithms
Significant programming experience in Python, Java, Scala, or R
Experience with machine learning software libraries such as scikit-learn and Weka
Understanding of deep learning algorithms and experience with related libraries such as TensorFlow, Torch, and Deeplearning4j a plus
Experience with big data tools such as Apache Spark, Mahout, or Storm a plus
Experience with NLP (Natural Language Processing) a plus
Ability to communicate algorithm design, performance metrics, and data analyses in written and oral reports
US CITIZENSHIP REQUIRED; applicants selected will be subject to a security investigation and will need to meet eligibility requirements for access to classified information

Position Location: Reston, VA

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or protected veteran status. Metron takes affirmative action in support of its policy to employ and advance in employment individuals who are minorities, women, protected veterans, and individuals with disabilities.

VEVRAA Federal Contractor",3.0,"Metron, Inc.
3.0","Reston, VA",-1,51 to 200 Employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$25 to $50 million (USD),-1
Process Development Scientist 29900 - Vision Systems & Packaging Process,$78K-$133K (Glassdoor est.),"Education: *
Doctorate degree or Master’s degree and 3 years of directly related experience or Bachelor’s degree and 5 years of directly related experience.*
Preferred Qualifications: *
Packaging Process Equipment and Vision System Installation, Qualification and Improvements.*
Description: *
To conceive, design, implement and execute specific scientific experiments, which contribute to the successful completion of goals and/or projects under general guidance of supervisor. Under general guidance of supervisor,
Conceives and designs, executes or evaluates, and interprets experimental strategies. Provides input to new processes to generate robust and reliable data. Ensures that studies are conducted in compliance with the respective protocol and applicable guidelines and regulations. Designs, monitors or conducts experimental strategies with general guidance from supervisor. Provides data analysis and interpretation, and assesses impact of the data on the project. Keeps current in field of scientific expertise and areas relevant to their function. Monitors field of expertise, including literature and technology development, and communicates relevant observations. May introduce advanced scientific methods. Develops and implements new and novel protocols to address specific issues. May represent the department on project teams under supervision of a senior scientific staff member. May initiate productive collaborations within and outside of the department or company. Advises or assists others in experimental design and/or interpretation/diagnosis of data and implementing innovative remedies.
Independently authors scientific reports, summary documents, complex regulatory documents, invention disclosure submissions and/or patents. Participates in external scientific community. May assume lead role in department-wide support efforts such as safety, recruiting and committees. May develop supervisory and mentoring skills. Develops and follows timelines for completing project team work.
Skills: *
Advanced scientific analysis and troubleshooting skills.
Advanced laboratory work skills. Ability to motivate and/or supervise the activities of others.
Must be well organized, have multi-task project experience, and be able to communicate and work well with other departments. Must have demonstrated skills and competencies in the following areas: Verbal communication
Written communication including technical writing skills, negotiation and conflict resolution Analytical problem solving Project management Ability to be flexible and manage change. Computer literacy (Windows environment: Word, Excel, Power Point). Skills requiring the application of scientific theory. Creative skills in the design and performance of scientific experiments and interpretation of results. Strong knowledge of cGMP’s. Fully bilingual (English/Spanish).
Job Type: Full-time

Salary: $0.00 per hour",1.0,"CIS International LLC
1.0","Juncos, PR",-1,1 to 50 Employees,1981,College / University,Colleges & Universities,Education,Less than $1 million (USD),-1
Data Scientist,$78K-$133K (Glassdoor est.),"STRATACACHE provides salable customer experiences, empowering retailers to learn deeply about their customers’ shopping preferences and behaviors, allowing for personalized shopper interaction. Our solutions deliver consumer activation at the point-of-decision, generating new sales opportunities and enhanced retail profitability. With 3 million+ software activations globally, we power the biggest digital networks for the world’s largest brands. Across the STRATACACHE family of complementary digital media/ad tech solution companies, we have the technology, expertise and track record to bring retail innovation that delivers results.

Learn more about the STRATACACHE family at www.stratacache.com.

Data Scientist

Do you love data? Do you enjoy creating statistical models and finding insights that make a difference? Are you interested in the future of retail, commerce, and customer analytics? If so, this is the role for you. In this role you will have the opportunity to work with software engineering, sales, and product organizations to develop innovative, impactful data applications. Your efforts will enhance the overall product quality utilizing many aspects of data science, including various types of modeling that drive toward strategic analytics. You will be focused on the future of the restaurant and retail experience by discovering insights while creating strategic, marketing, retail, customer experience and digital analytics. Your background in statistics, data science, big data, normalization, modeling, quantitative research, and/or analytics consulting will be very beneficial as you take on this exciting position in the company and join our Data Science team. In this role you will also have the opportunity to continue to build and improve the marketing of technology products that are influenced by data, understand human behavior and determine how to influence and impact the retail marketplace with exciting new solutions and insights.

Responsibilities include:

Design, build, and deliver statistical models and related actionable data-focused results to support product and customer requirements and initiatives.
Work closely with engineering, product and sales teams to understand business and technical requirements, translate these into important discovery directives, and follow through to optimize and support the enhancement and growth of Stratacache products.
Establish and make effective use of internal and external datasets to back up and support key strategic, product, and customer decision-making efforts.
Serve as the data science expert on cross-functional teams for large strategic initiatives and education on accessing and utilizing qualified and focused data for decision making.
Analyze, propose, design and successfully deliver data experiments for engineering, product and sales teams to ensure statistical rigor and effectiveness.
Provide expertise and professionalism in handling sensitive, privacy-protected data, including sources, structures, organization, and optimization.
Communicate complex ideas about our product through visual aids like charts and dashboards.
Keep up-to-date with emerging data science and statistical technologies, methods and practices.
Create and/or use existing data models for predictions regarding user behavior.
Communicate ideas, processes, and results to all levels of internal and external clients and teams.
Basic & Preferred Qualifications
Bachelor's degree required in Computer Science, Mathematics, Statistics, Quantitative Analysis, or other technical field related to software development.
Minimum 3 years of related experience working with data science and statistical modeling.
Experience in the QSR, retail or ecommerce industries from a data perspective is required.
Experience with recommendation engines and discovering new and advanced modeling methods i.e. deep neural networks, gradient boosted decision trees, etc.. is required.
Experience with SQL and at least one functional or statistical programming language is required.
Minimum of 3 years of related experience working with R and Python is required.
Minimum of 3 years of related experience working with REST APIs is required.
Experience working with Postgres, Timescale DB and/or other related database technologies is required.
Ability to distill complex statistical concepts and methodology, and articulate insights to cross-functional teams and clients with varying levels of knowledge in this space is required.
Ability to work with distributed and remote teams is required.
Experience with complex query writing is required.
Experience with result-set performance tuning and related data administration is required.
Experience with big data technologies is required.
Experience and understanding of various statistical modeling tools and platforms is required.
Experience in ecommerce, wifi, app messaging, social and other datasets is beneficial.
Experience in machine learning and artificial intelligence methods and practice is beneficial.
Understanding and experience with database technologies is beneficial including Oracle, SQLServer, etc..
Understanding and experience with BI technologies is beneficial: Tableau, Microstrategy, Microsoft, OBI, etc..
Experience with kafka, Go, or Redis is beneficial.
Understanding of data modeling techniques and star schemas is beneficial.
Experience with Hadoop and MapReduce is beneficial.
Experience with ftp, file transfers, data exchange methodologies.
A solid understanding of methodology, data and systems from a broad range of research and analytics providers, including emerging tools and methods is required.
Ability to articulate and tie data to business strategy.
Microsoft Excel and PowerPoint skills
Self-motivated, self-starter with a team-centric focus while working in a fluid environment.
Exceptional communication skills: verbal, written, and presentation.
Experience in the following areas: strategic analytics, marketing analytics, digital analytics, data analytics, statistics, data science, big data, normalization, modeling, quant research, analytics consulting.
Desire and interest to uncover and discover insights using disparate data sources.
Desire and interest in being the “Go To” person for data science.
Dynamic personality and passion for data, analytics, visualizations and storytelling is beneficial for this role.
Keen sense of user interface design, style, aesthetics and effective visual presentation.
Experience with agile development methodologies.
Ability to work effectively in fast-paced, results-oriented work environment.
Ability to handle and adjust to change in requirements and direction.
Positive attitude, attention to detail, and great problem solving skills are important.

STRATACACHE and its family of companies provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, age, disability, genetic information, pregnancy, childbirth or related medical condition, veteran, marital, parental, citizenship, or domestic partner status, or any other status protected by applicable national, federal, state or local law.

While we are excited and appreciate you interest in our opportunities, please keep in mind that we are not able to contact all applicants that have applied.

No vendor/agency solicitation please.",3.6,"STRATACACHE
3.6","Dayton, OH",-1,201 to 500 Employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
"Data Scientist, Machine Learning",$78K-$133K (Glassdoor est.),"Job Description

At Shipt, we are transforming the grocery shopping experience and giving time back to consumers. Shipt shoppers handpick fresh groceries and household essentials, then deliver them to your door in as little as one hour.

Shipt is growing and we are searching for a Data Scientist, Machine Learning to join our team! At Shipt, we're using machine learning (ML) and analytics to drive our business forward. We're looking for help understanding our data, optimizing our processes, and making predictions to improve our product and customer experience.

The data science team builds data driven solutions using machine learning and modeling techniques. Our solutions include predictive models, clustering, segmentation, complex reporting, and quantitative research. Our ideal candidate will be data-driven, intellectually curious, and a clear communicator with experience building machine learning models.

What You'll Gain
You will get experience working with a cross-disciplinary team shipping real-world products to our customers around the nation. You will also receive hands-on mentorship from your friendly teammates on topics ranging from design to career advice

Your Responsibilities
Develop a thorough understanding of our data and interpret them as they relate to shopper behavior, search performance, profitability, and product development
Build predictive models and optimization routines to capture opportunities and solve problems. Applications include modeling demand in a given market, delivering search recommendations, and optimizing internal processes
Collaborate with other members of the Data Science and engineering teams on ways to approach problems, augment code, and share new techniques
Work with functional team leaders (in Product, Operations, Marketing, etc.) to explain your analysis, findings, and recommendations
Find opportunities for improvement across the business and assist in decision-making across teams
Stay abreast of developments in the field and contribute to its advancement
Requirements
At least 2 years of experience with machine learning, predictive modeling, and/or optimization techniques
High degree of proficiency with one of R or Python
Proficiency with SQL
Experience with a data visualization tool (Tableau, Chartio, Looker, Spotfire, Power BI, etc.)
Experience with cloud computing services or platforms
Comfortable giving verbal presentations and communicating with technologies like Zoom and Slack
Bachelor's degree in a quantitative field or related experience
Nice to Haves
Experience deploying predictive models in a cloud environment
Experience with batch processing framework
Familiarity with AWS, version control, and peer code review systems
Familiarity with on-demand and/or multi-sided marketplaces
Proficiency in both R and Python
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",3.4,"Shipt
3.4","Birmingham, AL",-1,1001 to 5000 Employees,2014,Subsidiary or Business Segment,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable,-1
Contract Data Analyst,$78K-$133K (Glassdoor est.),"Overview:

Amyx is seeking to hire a Contract Data Analyst located in Rosslyn, VA. The successful candidate must have A 4-year course of study leading to a bachelor's degree with a major in any field, that includes or is supplemented by at least 24 semester hours in any combination of the following fields: accounting, business, finance, law, contracts, purchasing, economics, industrial management, marketing, quantitative methods or organization. Also, a minimum of 2 years of experience serving as a Federal government and/or contractor employee in the GS-1102 series or equivalent capacity as a contract specialist/administrator or procurement analyst

Responsibilities:

Responsibilities and Skills:

Knowledge of WAWF eBusiness processes.
Knowledge of the federal acquisition process.
Knowledge of contracting principles, laws regulation and procedures.
Knowledge of methods and techniques of fact-finding, analysis, and resolution of complex problems, and the ability to develop concrete action plans to solve problems.
Knowledge and Experience of the WAWF eBusienss Suite, to include: iRAPT, EDA, IUID, CDR, MyInvoice, and Contract Closeout.
Good verbal, analytical and written communication skills.
Good organizational skills in tracking data and actions.
Knowledge and Experience writing professional documents.
Knowledge and Experience in Customer Service.
Skilled in Business Intelligence Reporting.
Proficient in the use of the Microsoft suite of applications including Word, SharePoint, Excel, PowerPoint, Outlook, and Project as well as with Adobe Acrobat.

Supported Technologies:
Integrative Acquisition Environment
DOD acquisition system

Qualifications:

Required Skills and Qualifications:

Bachelor’s degree and preferred majors are accounting, business, finance, law, contracts, purchasing, economics, industrial management, marketing, quantitative methods or organization.
2 years of experience required in serving as a Federal government and/or contractor employee in the GS-1102 series or equivalent capacity as a contract specialist/administrator or procurement analyst.

Desired Skills and Qualifications:
Knowledge of Federal and DOD acquisition procedures

Amyx is an Equal Opportunity employer. Amyx is committed to providing equal employment opportunity to all job seekers. Every qualified applicant receives focused consideration for employment and no one is discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status. In addition to federal law requirements, Amyx complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. Equal Opportunity Employer- Minorities/Females/Veterans/Individuals with Disabilities/Sexual Orientation/Gender Identity. Amyx is an E-Verify employer.
Amyx proudly and proactively takes affirmative action to advance employment of individuals who are minorities, women, protected veterans and individuals with disabilities.
Physical Demands
Employee needs to be able to sit at a workstation for extended periods; use hand(s) to handle or feel objects, tools, or controls; reach with hands and arms; talk and hear. Most positions require ability to work on desktop or laptop computer for extended periods of time reading, reviewing/analyzing information, and providing recommendations, summaries and/or reports in written format. Must be able to effectively communicate with others verbally and in writing. Employee may be required to occasionally lift and/or move moderate amounts of weight, typically less than 20 pounds. Regular and predictable attendance is essential.",4.0,"Amyx, Inc.
4.0","Arlington, VA",-1,501 to 1000 Employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1
Data Science Engineer Full Stack - AI,$78K-$133K (Glassdoor est.),"Data Science Engineer Full Stack - AI

Overview

Our ideal candidate has AI and development experience combined with a passion for design, user experience, analytics, and customer success.

Responsibilities:
Design and assist in the development of high-quality, scalable, and maintainable data science frameworks
Work with other developers to design and implement data science features in support of established security and acceptance criteria in collaboration with product owners
Work with engineers, designers, and analysts to deliver innovative AI product feature enhancements
Provide on-going development support as needed
Assist in the development of feature and support documentation
Assist the QA team with feature and regression testing for feature acceptance
Interface with the core engineering, product, and DevOps teams as necessary to ensure success of Data Science products from development, design, and infrastructure perspectives
Develop and maintain adherence to product management processes throughout the organization.
Help create compelling user experiences
Create and deliver on project timelines
BryterCX is the leading company in providing a Journey Intelligence SaaS solution to organizations in order to improve their customers experiences by removing friction and optimizing every function and channel. We make the world better by making business experiences better. The BryterCX Journey Management Suite - IRIS - provides organizations with the ability to increase revenue by lowering attrition, decreasing costs by reducing analog channels, and improving the overall experience by matching the right experience to the customer.

Qualifications:
Proficiency designing and implementing multi-tenant services powering data science calculations with such technologies as modern Python in a distributed computing ecosystem
Awareness of tools used in manipulation of large, complex datasets for use in analytic use cases using tools such as Python, Spark, PostgreSQL, Go. In addition, some experience with pyspark, tensorflow, numpy and pandas would be helpful
Knowledge of statistical methods, models and process and how they are applied to data cleaning processing and prediction
Familiarity with UI languages and platforms across all application layers including JavaScript
Experience with continuous integration and deployment on Jenkins
Familiarity with data sets in myriad of formats and storage technologies/databasessuch as HDFS, Avro, CSV, JSON
Ability to work within an iterative software development lifecycle, under Agile development processes
Proficiency with common software engineering best practices, such as pairing, test-driven development (TDD), writing unit and integration tests, and participating in code reviews
Excellent written and verbal communication
Hands-on self starter
Authorization to work for any employer in the US required.

Powered by JazzHR",2.8,"BryterCX
2.8",United States,-1,51 to 200 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1
